Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Sanders,Biden,Chafee,Lessig,O'Malley,Webb,Undecided,Pollster URL,Source URL,Partisan,Affiliation
Morning Consult,2016-03-16,2016-03-18,2016-03-18 17:59:58 UTC,895,Registered Voters - Democrat,Internet,49,40,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24111,https://morningconsult.com/2016/03/cruz-edges-closer-to-trump-new-presidential-poll/?utm_content=31597007&utm_medium=social&utm_source=twitter,Nonpartisan,None
Ipsos/Reuters,2016-03-12,2016-03-16,2016-03-17 16:05:22 UTC,615,Registered Voters - Democrat,Internet,51,45,,,,,,4,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24103,http://big.assets.huffingtonpost.com/2016ReutersTracking3.16.16.pdf,Nonpartisan,None
Morning Consult,2016-03-11,2016-03-13,2016-03-14 17:45:27 UTC,1842,Registered Voters - Democrat,Internet,48,40,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24088,https://morningconsult.com/2016/03/bernie-sanders-hillary-clinton-donald-trump-ted-cruz-presidential-polling/,Nonpartisan,None
NBC/SurveyMonkey,2016-03-07,2016-03-13,2016-03-15 11:14:18 UTC,2597,Registered Voters - Democrat,Internet,54,41,,,,,,5,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24093,http://www.msnbc.com/msnbc/trump-and-clinton-lead-nationally-clinton-support-dips-ahead-key-contests,Nonpartisan,None
YouGov/Economist,2016-03-10,2016-03-12,2016-03-14 17:17:34 UTC,400,Likely Voters - Democrat,Internet,52,40,,,,,,8,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24084,https://today.yougov.com/news/2016/03/14/trump-rises-national-support-rubio-falls-and-carso/,Nonpartisan,None
Ipsos/Reuters,2016-03-05,2016-03-09,2016-03-10 16:53:52 UTC,686,Registered Voters - Democrat,Internet,55,40,,,,,,5,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-24040,http://big.assets.huffingtonpost.com/2016ReutersTrackingCorePoliticalpdf.pdf,Nonpartisan,None
Morning Consult,2016-03-04,2016-03-06,2016-03-08 15:38:21 UTC,960,Registered Voters - Democrat,Internet,52,36,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24011,http://morningconsult.com/2016/03/poll-ted-cruz-closes-gap-on-donald-trump/,Nonpartisan,None
ABC/Post,2016-03-03,2016-03-06,2016-03-08 12:06:27 UTC,356,Registered Voters - Democrat,Live Phone,49,42,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/abc-post-24009,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-national-poll-march-3-6-2016/1982/,Nonpartisan,None
NBC/WSJ,2016-03-03,2016-03-06,2016-03-08 17:16:18 UTC,410,Likely Voters - Democrat,Live Phone,53,44,,,,,,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24013,http://www.nbcnews.com/politics/2016-election/clinton-nine-over-sanders-nationally-new-nbc-news-wsj-poll-n533911,Pollster,Dem
NBC/SurveyMonkey,2016-02-29,2016-03-06,2016-03-08 11:30:08 UTC,6245,Registered Voters - Democrat,Internet,55,38,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24008,https://www.scribd.com/doc/302999656/NBC-News-SurveyMonkey-Toplines-and-Methodology-2-29-3-6?secret_password=RqOsJk7HFnKkgH03TY1h,Nonpartisan,None
Ipsos/Reuters,2016-02-27,2016-03-02,2016-03-03 17:38:25 UTC,619,Registered Voters - Democrat,Internet,54,40,,,,,,5,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23970,http://big.assets.huffingtonpost.com/2016ReutersTracking30216.pdf,Nonpartisan,None
Rasmussen,2016-02-25,2016-02-28,2016-03-01 16:21:32 UTC,541,Likely Voters - Democrat,Automated Phone,53,31,,,,,,6,http://elections.huffingtonpost.com/pollster/polls/rasmussen-23957,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/support_for_clinton_up_among_democrats_nationally,Nonpartisan,None
NBC/SurveyMonkey,2016-02-22,2016-02-28,2016-03-01 16:08:48 UTC,8702,Registered Voters - Democrat,Internet,51,41,,,,,,8,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23955,http://www.nbcnews.com/politics/2016-election/trump-hits-new-high-clinton-maintains-big-lead-new-national-n528521,Nonpartisan,None
Morning Consult,2016-02-26,2016-02-27,2016-02-29 17:19:46 UTC,891,Registered Voters - Democrat,Internet,51,35,,,,,,9,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23918,http://morningconsult.com/2016/02/donald-trump-marco-rubio-super-tuesday-polling/,Nonpartisan,None
CNN,2016-02-24,2016-02-27,2016-02-29 12:17:00 UTC,418,Registered Voters - Democrat,Live Phone,55,38,,,,,,4,http://elections.huffingtonpost.com/pollster/polls/cnn-23911,http://i2.cdn.turner.com/cnn/2016/images/02/29/rel4a.-.2016.primaries.pdf,Nonpartisan,None
YouGov/Economist,2016-02-24,2016-02-27,2016-02-28 23:08:26 UTC,535,Likely Voters - Democrat,Internet,55,37,,,,,,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23910,https://today.yougov.com/news/2016/02/28/3-4-republican-primary-voters-now-expect-trump-nom/,Nonpartisan,None
Morning Consult,2016-02-24,2016-02-25,2016-02-26 01:55:24 UTC,1723,Registered Voters - Democrat,Internet,50,35,,,,,,10,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23880,http://morningconsult.com/2016/02/ted-cruz-support-drops-amid-character-attacks/,Nonpartisan,None
Ipsos/Reuters,2016-02-20,2016-02-24,2016-02-25 17:29:09 UTC,546,Registered Voters - Democrat,Internet,49,44,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23865,http://big.assets.huffingtonpost.com/2016ReutersTracking1.pdf,Nonpartisan,None
IBD/TIPP,2016-02-19,2016-02-24,2016-02-25 15:27:09 UTC,334,Registered Voters - Democrat,Live Phone,45,43,,,,,,6,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23862,http://www.investors.com/politics/clinton-and-sanders-in-a-dead-heat-as-super-tuesday-looms/,Nonpartisan,None
NBC/SurveyMonkey,2016-02-15,2016-02-21,2016-02-23 11:57:11 UTC,3338,Registered Voters - Democrat,Internet,51,40,,,,,,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23836,https://www.scribd.com/doc/300095897/NBC-News-SurveyMonkey-Toplines-and-Methodology-2-15-2-21?secret_password=YZtDbbnKcnK7qHg1qdlK,Nonpartisan,None
FOX,2016-02-15,2016-02-17,2016-02-18 23:08:04 UTC,429,Likely Voters - Democrat,Live Phone,44,47,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/fox-23803,http://www.foxnews.com/politics/interactive/2016/02/18/fox-news-poll-national-presidential-race-february-18-2016/,Nonpartisan,None
Ipsos/Reuters,2016-02-13,2016-02-17,2016-02-18 20:15:27 UTC,543,Registered Voters - Democrat,Internet,53,42,,,,,,5,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23799,http://big.assets.huffingtonpost.com/2016ReutersTracking.pdf,Nonpartisan,None
McLaughlin (R),2016-02-11,2016-02-17,2016-02-26 21:51:10 UTC,454,Likely Voters - Democrat,Internet,43,43,,,,,,15,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-23899,http://mclaughlinonline.com/pols/wp-content/uploads/2016/02/National-Omnibus-2-17-16-TOPLINE-Public.pdf,Pollster,Rep
Morning Consult,2016-02-15,2016-02-16,2016-02-17 11:44:02 UTC,829,Registered Voters - Democrat,Internet,47,39,,,,,,9,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23766,http://morningconsult.com/2016/02/trump-drops-slightly-clinton-holds-steady-in-new-poll/,Nonpartisan,None
NBC/WSJ,2016-02-14,2016-02-16,2016-02-18 22:10:10 UTC,400,Likely Voters - Democrat,Live Phone,53,42,,,,,,5,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23801,https://www.scribd.com/doc/299690763/NBCNews-WSJ-February-Poll?secret_password=Mf2CgQ8zDGpLW73pfCoJ,Pollster,Dem
CBS,2016-02-12,2016-02-16,2016-02-19 15:45:12 UTC,264,Likely Voters - Democrat,Live Phone,47,39,,,,,,10,http://elections.huffingtonpost.com/pollster/polls/cbs-23809,http://www.scribd.com/doc/299713095/Toplines-Dem-Poll-CBS-2-18-16/,Nonpartisan,None
Robert Morris University,2016-02-11,2016-02-16,2016-02-24 20:48:19 UTC,287,Likely Voters - Democrat,Internet,57,36,,,,,,,http://elections.huffingtonpost.com/pollster/polls/robert-morris-university-23856,http://big.assets.huffingtonpost.com/RMU20154Report.pdf,Nonpartisan,None
Suffolk/USA Today,2016-02-11,2016-02-15,2016-02-17 17:22:40 UTC,319,Likely Voters - Democrat,Live Phone,50,40,,,,,,10,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23779,https://www.suffolk.edu/academics/10741.php,Nonpartisan,None
YouGov/Economist,2016-02-11,2016-02-15,2016-02-18 16:28:27 UTC,527,Likely Voters - Democrat,Internet,53,39,,,,,,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23794,https://today.yougov.com/news/2016/02/18/trump-dominates-gop-field-nationally-kasich-gains/,Nonpartisan,None
Quinnipiac,2016-02-10,2016-02-15,2016-02-17 11:36:57 UTC,563,Registered Voters - Democrat,Live Phone,44,42,,,,,,13,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23765,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2323,Nonpartisan,None
NBC/SurveyMonkey,2016-02-08,2016-02-14,2016-02-16 12:55:27 UTC,3847,Registered Voters - Democrat,Internet,50,40,,,,,,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23756,https://www.scribd.com/doc/299368679/NBC-News-SurveyMonkey-Weekly-Election-Tracking-Poll?secret_password=GuV7OK1YVs7OzORICRdM,Nonpartisan,None
Morning Consult,2016-02-10,2016-02-11,2016-02-12 15:34:31 UTC,811,Registered Voters - Democrat,Internet,46,39,,,,,,7,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23744,http://morningconsult.com/2016/02/donald-trump-bernie-sanders-national-polling/,Nonpartisan,None
Ipsos/Reuters,2016-02-06,2016-02-10,2016-02-11 16:07:52 UTC,600,Registered Voters - Democrat,Internet,55,43,,,,,,3,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23740,http://big.assets.huffingtonpost.com/2016ReutersTrackingPolitical21016.pdf,Nonpartisan,None
Morning Consult,2016-02-03,2016-02-07,2016-02-09 22:39:37 UTC,1988,Registered Voters - Democrat,Internet,50,37,,,,,,8,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23731,http://morningconsult.com/2016/02/poll-cruz-rubio-gain-heading-to-new-hampshire/,Nonpartisan,None
NBC/SurveyMonkey,2016-02-01,2016-02-07,2016-02-10 16:02:26 UTC,3154,Registered Voters - Democrat,Internet,51,39,,,,1,,8,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23733,http://www.nbcnews.com/politics/2016-election/voters-think-trump-will-win-gop-nomination-cruz-rubio-rise-n514196,Nonpartisan,None
Rasmussen,2016-02-03,2016-02-04,2016-02-05 18:28:12 UTC,574,Likely Voters - Democrat,Internet,50,32,,,,,,6,http://elections.huffingtonpost.com/pollster/polls/rasmussen-23686,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/clinton_s_support_holds_steady_nationally,Nonpartisan,None
Rasmussen,2016-02-03,2016-02-04,2016-02-07 16:02:26 UTC,574,Likely Voters - Democrat,Automated Phone,50,32,,,,,,6,http://elections.huffingtonpost.com/pollster/polls/rasmussen-23698,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/clinton_s_support_holds_steady_nationally,Nonpartisan,None
Quinnipiac,2016-02-02,2016-02-04,2016-02-05 12:41:40 UTC,484,Registered Voters - Democrat,Live Phone,44,42,,,,,,13,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23675,http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2321,Nonpartisan,None
Morning Consult,2016-02-02,2016-02-03,2016-02-03 19:49:33 UTC,719,Registered Voters,Internet,51,35,,,,,,8,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23659,https://morningconsult.com/2016/02/bernie-sanders-marco-rubio-ted-cruz-rise-after-iowa//,Nonpartisan,None
PPP (D),2016-02-02,2016-02-03,2016-02-04 15:36:54 UTC,517,Likely Voters - Democrat,IVR/Online,53,32,,,,,,14,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23664,http://www.publicpolicypolling.com/main/2016/02/republican-race-tightens-nationally-clinton-still-solid.html,Pollster,Dem
Ipsos/Reuters,2016-01-30,2016-02-03,2016-02-04 16:16:33 UTC,619,Registered Voters - Democrat,Internet,54,39,,,,2,,5,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23665,http://big.assets.huffingtonpost.com/2016Reutersipsos.pdf,Nonpartisan,None
Morning Consult,2016-01-29,2016-02-01,2016-02-01 21:20:47 UTC,1928,Registered Voters - Democrat,Internet,50,34,,,,3,,9,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23648,http://morningconsult.com/2016/02/donald-trump-poll-numbers-iowa-caucuses/,Nonpartisan,None
NBC/SurveyMonkey,2016-01-25,2016-01-31,2016-02-04 20:42:44 UTC,3233,Registered Voters - Democrat,Internet,50,39,,,,2,,8,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23669,http://big.assets.huffingtonpost.com/NBCNewsSurveyMonkey020216.pdf,Nonpartisan,None
YouGov/Economist,2016-01-27,2016-01-30,2016-01-31 20:16:38 UTC,531,Likely Voters - Democrat,Internet,52,40,,,,2,,,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23634,https://today.yougov.com/news/2016/01/31/americans-expect-trump-clinton-victories-ahead-iow/,Nonpartisan,None
IBD/TIPP,2016-01-22,2016-01-27,2016-01-28 20:46:50 UTC,349,Registered Voters - Democrat,Live Phone,50,38,,,,2,,5,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23624,http://www.investors.com/politics/trumps-lead-shrinks-as-attacks-on-cruz-appear-to-backfire-poll/,Nonpartisan,None
ABC/Post,2016-01-21,2016-01-24,2016-01-27 12:20:22 UTC,406,Registered Voters - Democrat,Live Phone,55,36,,,,4,,3,http://elections.huffingtonpost.com/pollster/polls/abc-post-23602,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-poll-jan-21-24-2016-election-and-politics/1941/,Nonpartisan,None
CNN,2016-01-21,2016-01-24,2016-01-26 00:28:17 UTC,440,Registered Voters - Democrat,Live Phone,52,38,,,,2,,2,http://elections.huffingtonpost.com/pollster/polls/cnn-23589,http://www.cnn.com/2016/01/25/politics/democrats-poll-full-results-cnn-orc/index.html,Nonpartisan,None
Morning Consult,2016-01-21,2016-01-24,2016-01-26 20:19:29 UTC,1797,Registered Voters - Democrat,Internet,48,31,,,,2,,12,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23600,http://big.assets.huffingtonpost.com/160103_topline_trend_v4_TS.pdf,Nonpartisan,None
Public Religion Research Institute,2016-01-20,2016-01-24,2016-01-28 00:32:10 UTC,463,Adults - Democrat,Live Phone,51,33,,,,3,,11,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23613,http://publicreligion.org/research/2016/01/survey-trump-gains-ground-with-white-evangelical-voters-solidifies-lead-with-republican-voters-nationwide/#.VqlgIDYdXdl,Nonpartisan,None
NBC/SurveyMonkey,2016-01-18,2016-01-24,2016-01-26 20:10:37 UTC,2780,Registered Voters - Democrat,Internet,51,37,,,,2,,1,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23599,http://www.nbcnews.com/politics/2016-election/hillary-clinton-donald-trump-maintain-national-leads-poll-n504131,Nonpartisan,None
FOX,2016-01-18,2016-01-21,2016-01-25 23:21:24 UTC,375,Likely Voters - Democrat,Live Phone,49,37,,,,1,,10,http://elections.huffingtonpost.com/pollster/polls/fox-23588,http://www.foxnews.com/politics/2016/01/25/fox-news-poll-clinton-drops-below-50-percent-as-her-lead-over-sanders-shrinks.html,Nonpartisan,None
Zogby (Internet),2016-01-19,2016-01-20,2016-01-24 22:21:57 UTC,373,Likely Voters - Democrat,Internet,49,27,,,,10,,14,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23575,http://www.forbes.com/sites/johnzogby/2016/01/24/clinton-leads-sanders-by-22-omalley-at-10-new-zogby-poll/#5ac96b4d6e1d,Nonpartisan,None
Ipsos/Reuters,2016-01-16,2016-01-20,2016-01-21 15:54:49 UTC,629,Adults - Democrat,Internet,54,35,,,,4,,7,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23542,http://www.ipsos-na.com/download/pr.aspx?id=15256,Nonpartisan,None
YouGov/Economist,2016-01-15,2016-01-19,2016-01-21 13:23:27 UTC,533,Likely Voters - Democrat,Internet,50,41,,,,2,,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23539,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ps6zskmuwy/econTabReport.pdf,Nonpartisan,None
Monmouth University,2016-01-15,2016-01-18,2016-01-19 17:15:25 UTC,352,Registered Voters - Democrat,Live Phone,52,37,,,,2,,8,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23523,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/4d7b2106-b632-4b79-a6ed-7afc73902d4c.pdf,Nonpartisan,None
Morning Consult,2016-01-14,2016-01-17,2016-01-19 19:11:34 UTC,1805,Registered Voters - Democrat,Internet,54,30,,,,2,,10,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23526,http://morningconsult.com/wp-content/uploads/2016/01/160102_Topline-Trend.pdf,Nonpartisan,None
NBC/SurveyMonkey,2016-01-11,2016-01-17,2016-01-19 18:44:51 UTC,3259,Registered Voters - Democrat,Internet,52,36,,,,1,,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23524,http://big.assets.huffingtonpost.com/NBCNewsSurveyMonkeyWeeklyToplines11116_11716.pdf,Nonpartisan,None
Ipsos/Reuters,2016-01-09,2016-01-13,2016-01-14 16:55:11 UTC,696,Adults - Democrat,Internet,54,35,,,,4,,8,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23501,http://www.ipsos-na.com/download/pr.aspx?id=15242,Nonpartisan,None
NBC/WSJ,2016-01-09,2016-01-13,2016-01-17 14:29:52 UTC,400,Likely Voters - Democrat,Live Phone,59,34,,,,2,,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23507,http://www.scribd.com/doc/295919133/NBC-WSJ-January-Poll,Nonpartisan,None
YouGov/Economist,2016-01-09,2016-01-11,2016-01-19 23:14:04 UTC,620,Likely Voters - Democrat,Internet,58,33,,,,3,,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23528,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lrc8ks7rrj/toplines_DEM_PRIMARY_20160113.pdf,Nonpartisan,None
Gravis Marketing/One America News,2016-01-10,2016-01-10,2016-01-12 03:26:32 UTC,890,Likely Voters - Democrat,Automated Phone,65,26,,,,9,,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23477,http://www.oann.com/pollresults/,Sponsor,Rep
Morning Consult,2016-01-08,2016-01-10,2016-01-14 16:33:59 UTC,909,Registered Voters - Democrat,Internet,49,32,,,,3,,10,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23500,http://morningconsult.com/polls/new-poll-gop-candidates-face-low-favorability-ratings-ahead-of-debate/?utm_source=hs_email&utm_medium=email&utm_content=25265250&_hsenc=p2ANqtz-9-cm8pRQBX8B6j_igFKoPXMWvQjBelSqzLEhIWpg6c_8kNzurG16MG-LgaJBqcv2OCbhL5yDGm1rJ8i,Nonpartisan,None
CBS/Times,2016-01-07,2016-01-10,2016-01-12 23:50:01 UTC,389,Likely Voters - Democrat,Live Phone,48,41,,,,2,,6,http://elections.huffingtonpost.com/pollster/polls/cbs-times-23488,https://assets.documentcloud.org/documents/2684506/poll.pdf,Nonpartisan,None
NBC/SurveyMonkey,2016-01-04,2016-01-10,2016-01-12 16:31:24 UTC,2619,Registered Voters - Democrat,Internet,52,37,,,,2,,1,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23479,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/NBCSurveyMonkeyMethodologyJanuary11.pdf,Nonpartisan,None
IBD/TIPP,2016-01-04,2016-01-08,2016-01-11 14:07:44 UTC,397,Registered Voters - Democrat,Live Phone,43,39,,,,2,,9,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23468,http://big.assets.huffingtonpost.com/ibdtippjanuarypoll.pdf,Nonpartisan,None
FOX,2016-01-04,2016-01-07,2016-01-08 23:44:48 UTC,360,Likely Voters - Democrat,Live Phone,54,39,,,,3,,2,http://elections.huffingtonpost.com/pollster/polls/fox-23457,http://www.foxnews.com/politics/interactive/2016/01/08/fox-news-poll-national-presidential-race-obama-ratings/,Nonpartisan,None
Ipsos/Reuters,2016-01-02,2016-01-06,2016-01-07 17:18:01 UTC,709,Adults - Democrat,Internet,58,30,,,,3,,9,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23449,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7105,Nonpartisan,None
YouGov/Economist,2015-12-31,2016-01-06,2016-01-10 22:15:48 UTC,533,Likely Voters - Democrat,Internet,54,37,,,,3,,4,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23466,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kkv0bg7tc3/econTabReport.pdf,Nonpartisan,None
NBC/SurveyMonkey,2015-12-28,2016-01-03,2016-01-05 13:21:29 UTC,1060,Registered Voters - Democrat,Internet,53,36,,,,2,,8,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23438,http://www.scribd.com/doc/294643292/NBC-News-SurveyMonkey-Weekly-Election-Tracking-Poll,Nonpartisan,None
Ipsos/Reuters,2015-12-26,2015-12-30,2015-12-31 18:03:07 UTC,825,Adults - Democrat,Internet,57,32,,,,3,,8,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23429,http://www.ipsos-na.com/download/pr.aspx?id=15198,Nonpartisan,None
Ipsos/Reuters,2015-12-19,2015-12-23,2015-12-24 02:46:55 UTC,603,Adults - Democrat,Internet,58,31,,,,4,,7,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23413,http://big.assets.huffingtonpost.com/2015ReutersTrackingCorePolitical122315.pdf,Nonpartisan,None
Rasmussen,2015-12-20,2015-12-21,2015-12-22 21:00:14 UTC,546,Likely Voters - Democrat,Automated Phone,46,30,,,,7,,7,http://elections.huffingtonpost.com/pollster/polls/rasmussen-23402,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/clinton_loses_ground_in_democratic_primary_race,Nonpartisan,None
YouGov/Economist,2015-12-18,2015-12-21,2015-12-28 15:19:13 UTC,565,Likely Voters - Democrat,Internet,53,39,,,,2,,4,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23414,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/88txvi0ixm/econTabReport.pdf,Nonpartisan,None
CNN,2015-12-17,2015-12-21,2015-12-23 21:20:00 UTC,414,Registered Voters - Democrat,Live Phone,50,34,,,,3,,5,http://elections.huffingtonpost.com/pollster/polls/cnn-23412,http://i2.cdn.turner.com/cnn/2015/images/12/23/cnnpoll2.pdf,Nonpartisan,None
Emerson College Polling Society,2015-12-17,2015-12-20,2015-12-21 16:37:14 UTC,332,Likely Voters - Democrat,Automated Phone,65,26,,,,2,,4,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23395,http://media.wix.com/ugd/3bebb2_b85d13974aeb4901bd68916b963cea3c.pdf,Nonpartisan,None
Quinnipiac,2015-12-16,2015-12-20,2015-12-22 14:45:28 UTC,462,Registered Voters - Democrat,Live Phone,61,30,,,,2,,7,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23400,http://www.quinnipiac.edu/images/polling/us/us12222015_Uhkm63g.pdf,Nonpartisan,None
